city_id,countryCode,Lon,Lat
1,IND,77.233826,28.58028
2,IND,79.23371,19.97753
3,IND,77.23774,28.61128
4,IND,77.26484,28.498571
5,IND,76.611534,27.554792
6,IND,80.930275,26.882101
7,USA,-120.67751588461539,47.65336938461539
8,IND,77.45367,28.557055
9,ESP,-8.528039638339921,43.05163494624506
10,IND,76.209694,30.736055
11,GBR,-2.0983468095689655,57.14515945344827
11,USA,-124.03142716612903,47.13460200967742
12,ARE,54.433746,24.424398
13,USA,-99.69732704293786,42.659898343502825
14,TUR,35.31867268825911,37.00847541781376
15,ETH,38.74357295238095,9.027568023809524
16,AUS,138.5511344367816,-34.90786131034483
17,IND,78.33436,17.460102
18,IND,78.00598,27.198657999999998
19,TUR,43.45816252780154,39.38952715739949
20,IND,72.59191,23.002657
21,FRA,5.089690677378815,46.016759626570916
22,FRA,-2.6605821365333333,48.103219573333334
23,FRA,-0.49006292785714284,49.05523179081633
24,FRA,3.8193510063106797,43.48405266019417
25,FRA,6.24318633909465,48.925309703703704
26,FRA,0.5206351752911392,49.44408671645569
27,FRA,5.87895849079602,43.69606295522388
28,FRA,-1.0442841981327802,47.380076543568464
29,FRA,-0.9836793027672956,47.38061294339623
30,FRA,5.297303833469388,45.52892326122449
31,FRA,-0.5219630602469135,44.14479400411523
32,FRA,2.357559147979798,48.794613717171714
33,FRA,3.366922301010101,49.85517046464646
34,IND,92.719284,23.717634
35,IND,74.64659,26.47086
36,USA,-81.420794301059,41.138708385779125
37,IND,76.9938,27.9002
38,ROU,23.45274374137931,46.04577470689655
39,USA,-122.91140505070422,44.506004026760564
40,USA,-73.70272400595238,42.84352891369048
41,CAN,-113.79885126338834,53.50207472179185
42,USA,-106.59696281404175,35.10364918975332
43,ESP,-5.8337283,37.34246
44,ITA,8.79863175,44.85299092307692
45,ESP,-5.447701354854369,36.14965489805825
46,ESP,-0.6005973873230268,38.35735941659886
47,USA,-75.37904385431236,40.62373458391608
48,FRA,3.4672848349942065,46.559926330243336
49,ESP,-2.4173160461928935,36.85368466497462
50,ESP,-2.1716239878157504,36.95692306686478
51,ESP,-6.5704203,37.0161
52,FRA,5.749023993358634,43.884067024667935
53,FRA,7.177668854627202,43.68452176395654
54,IND,76.611534,27.554792
55,IND,80.518166,16.515083
56,TUR,35.609728967793885,40.739965528180356
57,IND,76.77833,30.37959
58,IND,76.5623,31.032545
59,IND,74.90776,30.233011
60,IND,74.87651,31.62
61,NLD,4.8387384,52.38706
62,AUT,16.602388235741444,47.76285596197718
63,AUT,14.158074344569288,46.73710424344569
64,AUT,15.932751161710037,48.201363408921935
65,AUT,14.038744317164179,48.158972608208956
66,AUT,13.17679580798479,47.56587320152091
67,AUT,15.226140443820224,47.183974239700376
68,AUT,11.63969415530303,47.304041329545456
69,USA,-149.69624248012718,61.266706389507156
70,USA,-149.06793,61.566661421052636
71,ITA,13.29239994047619,43.574469071428574
72,USA,-84.33586982803469,37.72836794364162
73,USA,-83.52624127941176,35.30928442647059
74,DEU,8.725283341191068,53.2215615235732
75,DEU,9.337908309756097,52.507397814634146
76,TUR,32.809240323818024,39.94668773595004
77,IND,73.01055,21.613268
78,USA,-83.745288237435,42.324982753899484
79,DEU,13.275126106382979,50.950802932624114
80,CHN,117.03047342464114,30.545947453349285
81,IND,76.337616,29.307814
82,BEL,4.494530938728324,51.2301147017341
83,IND,77.76229,28.953588
84,ESP,-2.8172868406271303,42.8320651206544
85,ROU,21.12524593103448,46.179575793103446
86,ESP,-5.7437224,36.73975
87,FRA,4.674867919927754,49.82600798555087
88,ITA,11.892579458333334,43.54656416666667
89,ROU,24.932413310344828,44.88469801724138
90,ESP,-3.6192527,37.13556
91,USA,-68.16156191047297,46.786875330518015
92,IND,86.94597,23.685297
93,IND,86.94597,23.685297
94,ITA,13.542466386363635,42.88639840909091
95,USA,-82.83153747315855,35.488852559300874
96,USA,-90.6986,46.6144
97,FRA,7.547616351502146,48.250453416309014
98,KAZ,71.46722,51.125286
99,ITA,8.24757696,44.864484319999995
100,ESP,-5.780934549744572,43.42751247765006
101,IND,72.6435,22.96961
102,USA,-84.30746986205767,33.69070080406291
103,FRA,3.1722021638297875,45.74084683829787
104,FRA,4.944115525949367,45.57329812025316
105,FRA,5.16982372866242,47.19336801273885
106,FRA,4.309951994736842,49.0223284
107,FRA,6.187153882278481,47.28555510970464
108,FRA,6.139956580124224,48.80788092546584
109,FRA,2.7424223981012656,50.3425986835443
110,FRA,2.7783452869387757,50.60777432653061
111,FRA,-0.09860426907652174,45.103737118012425
112,FRA,2.768039668456376,43.50575946308725
113,FRA,2.632606004201681,49.68491906722689
114,FRA,-0.3014155246280992,46.175301946280996
115,FRA,4.506685013278008,47.192413107883816
116,FRA,4.073968802248521,48.297691227218934
117,IND,76.93609,28.360699
118,USA,-81.95289192981072,33.5480689637224
119,IND,75.244446,19.838943
120,USA,-97.81590732490272,30.418404708171206
121,PRT,-8.625293787976728,40.75722272074984
122,USA,-81.98050437222223,36.028621083333334
123,ESP,-3.687386246842105,40.43269606052632
124,ESP,-0.8858351452156863,41.65487605490196
125,ROU,26.87711674137931,46.459640862068966
126,ESP,-6.663493209648241,38.6830814080402
127,DEU,8.80175280802603,48.595190206796815
128,NOR,10.597976557788945,59.912064346231155
129,IND,75.65969,16.172806
130,IND,77.213356,28.9748
131,IND,76.9254,28.6701
132,ESP,-3.7839124,38.09293
133,MEX,-115.4759311835443,32.631428291139244
134,USA,-118.87369451076717,35.29993366621804
135,TUR,27.97677387410072,40.418431145683456
136,IND,77.3197,28.341925
