country,countryCode,date
Philippines,PHL,2020-03-14T23:00:00Z
Poland,POL,2020-03-18T22:40:00Z
Portugal,PRT,2020-03-16T15:00:00Z
Puerto Rico,PRI,2020-03-13T23:00:00Z
Qatar,QAT,2020-03-16T23:00:00Z
Romania,ROU,2020-03-14T23:00:00Z
Russia,RUS,2020-03-19T22:40:00Z
Rwanda,RWA,2020-03-09T23:00:00Z
San Marino,SMR,2020-03-07T23:00:00Z
Saudi Arabia,SAU,2020-03-15T15:00:00Z
Senegal,SEN,2020-03-22T23:00:00Z
Serbia,SRB,2020-03-16T07:00:00Z
Seychelles,SYC,2020-04-07T22:00:00Z
Sierra Leone,SLE,2020-04-11T22:00:00Z
Singapore,SGP,2020-04-04T06:00:00Z
Slovakia,SVK,2020-03-13T15:00:00Z
Slovenia,SVN,2020-03-21T06:40:00Z
Solomon Islands,SLB,2020-03-26T22:30:00Z
Somalia,SOM,2020-04-10T22:00:00Z
South Africa,ZAF,2020-03-22T07:00:00Z
South Korea,KOR,2020-02-23T07:00:00Z
South Sudan,SSD,2020-03-30T14:40:00Z
Spain,ESP,2020-03-10T15:00:00Z
Sri Lanka,LKA,2020-03-17T07:00:00Z
Sudan,SDN,2020-03-19T23:00:00Z
Suriname,SUR,2020-03-21T23:00:00Z
Swaziland,SWZ,2020-03-21T23:00:00Z
Sweden,SWE,2020-04-01T10:00:00Z
Switzerland,CHE,2020-03-16T23:00:00Z
Syria,SYR,2020-03-26T22:40:00Z
Thailand,THA,2020-03-20T23:00:00Z
Trinidad and Tobago,TTO,2020-04-02T22:20:00Z
Tunisia,TUN,2020-03-17T23:00:00Z
Turkey,TUR,2020-03-14T07:00:00Z
Turkmenistan,TKM,2020-03-21T11:00:00Z
Uganda,UGA,2020-03-24T06:40:00Z
Ukraine,UKR,2020-03-14T23:00:00Z
United Arab Emirates,ARE,2020-03-15T15:00:00Z
United Kingdom,GBR,2020-03-20T07:00:00Z
United States,USA,2020-03-15T23:00:00Z
Uruguay,URY,2020-03-13T15:00:00Z
Uzbekistan,UZB,2020-03-22T07:00:00Z
Venezuela,VEN,2020-03-13T23:00:00Z
Vietnam,VNM,2020-03-13T14:40:00Z
Yemen,YEM,2020-04-30T10:00:00Z
Zambia,ZMB,2020-04-12T22:20:00Z
Zimbabwe,ZWE,2020-03-25T06:40:00Z
